Date,Close
2000-01-04,4349.55810546875
2000-01-05,3972.26416015625
2000-01-06,4000.7392578125
2000-01-07,3943.790283203125
2000-01-10,4107.51953125
2000-01-11,4107.51953125
2000-01-12,4071.92822265625
2000-01-13,4064.8076171875
2000-01-14,4150.2353515625
2000-01-17,4342.44140625
2000-01-18,4342.44140625
2000-01-19,4242.7783203125
2000-01-20,4299.728515625
2000-01-21,4185.82666015625
2000-01-24,4057.69091796875
2000-01-25,3872.60302734375
2000-01-26,3901.07568359375
2000-01-27,3929.55126953125
2000-01-28,4143.11572265625
2000-01-31,3972.26416015625
2000-02-01,3787.176513671875
2000-02-02,3737.346923828125
2000-02-03,3651.921142578125
2000-02-04,3651.921142578125
2000-02-07,3730.2275390625
2000-02-08,3865.482666015625
2000-02-09,4071.92822265625
2000-02-10,4100.40234375
2000-02-11,4057.69091796875
2000-02-14,3829.89013671875
2000-02-15,3701.752197265625
2000-02-16,3559.376220703125
2000-02-17,3616.32666015625
2000-02-18,3772.9404296875
2000-02-21,3609.208251953125
2000-02-22,3644.802001953125
2000-02-23,3659.03955078125
2000-02-24,3609.208251953125
2000-02-25,3644.802001953125
2000-02-28,3417.00244140625
2000-02-29,3644.802001953125
2000-03-01,3644.802001953125
2000-03-02,4185.82666015625
2000-03-03,4271.2529296875
2000-03-06,4014.9765625
2000-03-07,4000.7392578125
2000-03-08,4214.3017578125
2000-03-09,4000.7392578125
2000-03-10,3943.790283203125
2000-03-13,3687.51318359375
2000-03-14,3708.87158203125
2000-03-15,3844.1279296875
2000-03-16,3844.1279296875
2000-03-17,3901.07568359375
2000-03-20,4029.215576171875
2000-03-21,4185.82666015625
2000-03-22,4413.626953125
2000-03-23,4413.626953125
2000-03-24,4840.75146484375
2000-03-27,4840.75146484375
2000-03-28,5004.484375
2000-03-29,5452.96630859375
2000-03-30,5018.7216796875
2000-03-31,4769.56591796875
2000-04-03,5054.314453125
2000-04-04,4840.75146484375
2000-04-05,4840.75146484375
2000-04-06,4755.3271484375
2000-04-07,5125.5029296875
2000-04-10,5196.6904296875
2000-04-11,5054.314453125
2000-04-12,4919.0595703125
2000-04-13,4919.0595703125
2000-04-14,4456.33984375
2000-04-17,3929.55126953125
2000-04-18,4299.728515625
2000-04-19,4271.2529296875
2000-04-20,4285.4912109375
2000-04-21,4306.84619140625
2000-04-24,4128.87744140625
2000-04-25,4014.9765625
