symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,3.010652138947876,32.12443520337543,0.9934632844389362,15.952954725244673,511.59376066727214,0.9297867635643806,319.38425
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,2.1719632477109228,18.76338841289328,0.9961820049989872,16.934316673814415,586.1005175154295,0.9195611491475676,314.2726
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,3.049576585464056,27.934940745514243,0.9943157673990977,11.386583539513456,270.4402531849848,0.9628836649340301,315.4811
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,5.043176660774351,66.52993739243902,0.9864624148478705,16.201969331214656,458.95192750878545,0.9370115457297072,324.78494
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,1.9654547912263456,16.708826763517102,0.9966000694729498,16.64482340463052,516.8876247041809,0.9290602118433497,308.50378
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,5.028925007798701,34.55739013821557,0.9929682240812597,11.516742081426422,273.0687703281378,0.9625229164069047,310.48004
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
UNH,3.184928202709064,19.224234599171744,0.996088231507935,9.849716329351416,216.60282455902188,0.9702725355493991,312.39664
