symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
META,4.139589028328842,46.712132073361104,0.993695225392486,11.798350652058915,270.7629450391552,0.9908349944698182,702.31116
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
META,4.905989155265855,58.05762096392981,0.9921639154930632,11.865315477775809,275.3736413566452,0.9906789278513166,710.83514
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
META,5.943585867837349,57.36612618005843,0.9922572471086643,10.814678770123109,224.31866285641715,0.9924070785043916,712.9911
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
META,4.88222328772456,51.54865130041552,0.9930424364432769,13.91989334568832,363.1224030431329,0.9877087360253747,689.80725
symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
META,2.8188216338246503,23.085724579676494,0.9968841009034352,7.044909321178089,113.08365002820109,0.9961722521605321,725.1774
