Date,Close
,GOOGL
2004-08-19,2.4960410594940186
2004-08-20,2.6943013668060303
2004-08-23,2.72141695022583
2004-08-24,2.6087286472320557
2004-08-25,2.6368391513824463
2004-08-26,2.6843512058258057
2004-08-27,2.6405696868896484
2004-08-30,2.5375843048095703
2004-08-31,2.546539306640625
2004-09-01,2.493802785873413
2004-09-02,2.525146007537842
2004-09-03,2.48783278465271
2004-09-07,2.5268871784210205
2004-09-08,2.544797897338867
2004-09-09,2.54504656791687
2004-09-10,2.6201720237731934
2004-09-13,2.6741526126861572
2004-09-14,2.773406982421875
2004-09-15,2.7860937118530273
2004-09-16,2.8350989818573
2004-09-17,2.9226620197296143
2004-09-20,2.969180107116699
2004-09-21,2.9313690662384033
2004-09-22,2.944800853729248
2004-09-23,3.0054991245269775
2004-09-24,2.9808716773986816
2004-09-27,2.9418160915374756
2004-09-28,3.1557490825653076
2004-09-29,3.2607245445251465
2004-09-30,3.2239081859588623
2004-10-01,3.2980384826660156
2004-10-04,3.3597304821014404
2004-10-05,3.4420700073242188
2004-10-06,3.4099791049957275
2004-10-07,3.454010248184204
2004-10-08,3.4261491298675537
2004-10-11,3.3647055625915527
2004-10-12,3.4179394245147705
2004-10-13,3.505005121231079
2004-10-14,3.532369375228882
2004-10-15,3.5848560333251953
2004-10-18,3.710479974746704
2004-10-19,3.680130958557129
2004-10-20,3.4948062896728516
2004-10-21,3.7159526348114014
2004-10-22,4.289340496063232
2004-10-25,4.661732196807861
2004-10-26,4.522427558898926
2004-10-27,4.626159191131592
2004-10-28,4.808498382568359
2004-10-29,4.742330074310303
2004-11-01,4.876410961151123
2004-11-02,4.8475542068481445
2004-11-03,4.767951965332031
2004-11-04,4.594566345214844
2004-11-05,4.212723255157471
2004-11-08,4.292325496673584
2004-11-09,4.196554183959961
2004-11-10,4.175658702850342
2004-11-11,4.5527753829956055
2004-11-12,4.527402877807617
2004-11-15,4.598795413970947
2004-11-16,4.29207706451416
2004-11-17,4.29108190536499
2004-11-18,4.167698383331299
2004-11-19,4.2139668464660645
2004-11-22,4.107000827789307
2004-11-23,4.167200088500977
2004-11-24,4.347301006317139
2004-11-26,4.462475776672363
2004-11-29,4.503770351409912
2004-11-30,4.526904582977295
2004-12-01,4.476655960083008
2004-12-02,4.4627251625061035
2004-12-03,4.487601280212402
2004-12-06,4.385361671447754
2004-12-07,4.264464855194092
2004-12-08,4.228394985198975
2004-12-09,4.314216613769531
2004-12-10,4.269937515258789
2004-12-13,4.240086555480957
2004-12-14,4.445063591003418
2004-12-15,4.472177982330322
2004-12-16,4.389838218688965
2004-12-17,4.479640960693359
2004-12-20,4.602527141571045
2004-12-21,4.570934772491455
2004-12-22,4.6343674659729
2004-12-23,4.674169063568115
2004-12-27,4.773922443389893
2004-12-28,4.7950663566589355
2004-12-29,4.798547744750977
2004-12-30,4.915465354919434
2004-12-31,4.795812606811523
2005-01-03,5.042580604553223
2005-01-04,4.83834981918335
2005-01-05,4.813724040985107
2005-01-06,4.690338611602783
2005-01-07,4.82218074798584
2005-01-10,4.852280139923096
2005-01-11,4.814468860626221
2005-01-12,4.860240936279297
2005-01-13,4.858996868133545
2005-01-14,4.974420547485352
2005-01-18,5.072183609008789
